Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
1352,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_012,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/012_Са_к_вылтапыл_ос_нар.wav,44.780,49.310,Са̄ӈк­вылтапыл ос нарсъю­хыл са̄ӈквылтаӈкве о̄с ханищтахтэ̄гум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1353,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_013,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/013_Ма_щтыр_нэ_т_щаквщин.wav,49.510,54.790,Ма̄щтыр нэ̄т щаквщин колн Евгения Валерьевна Вьюткина палт ялантэ̄гум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1354,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_014,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/014_Ам_ма_ньщи_турло_пс_.wav,55.250,58.100,Ам ма̄ньщи турло̄пс сакыл амти хартсум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1355,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_015,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/015_Мо_лты_та_л_по_сыл_ю.wav,58.150,60.950,Мо̄лты та̄л по̄сыл ю̄нсхатуӈкве патсум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1356,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_016,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/016_Ты_р_пата_а_нумн_м_с.wav,61.030,63.080,Ты рӯпата а̄нумн мӯсты.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1357,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_017,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/017_Софья_оматэ_н_ма_ньщ.wav,63.310,66.100,Софья оматэ̄н ма̄ньщи супыл ю̄нтвес.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1358,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_018,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/018_Нэ_о_выл_щ_с_суп_ю_н.wav,66.130,71.590,Нэ̄ о̄выл щёс суп ю̄нтуӈкве вуйхатас ос э̄тпос арыгтем сыс ю̄нтлыгтастэ.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1359,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_019,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/019_Наталья_Валерьевна_л.wav,71.690,73.720,Наталья Валерьевна ла̄выс.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1360,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_020,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/020_Ам_Евгения_Вьюткинан.wav,73.740,77.650,Ам Евгения Вьюткинан ма̄нь­щи суп йинуӈкве нё̄тве̄сум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1361,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_021,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/021_Ма_нь_поль_э_тпос_юи.wav,77.690,81.100,Ма̄нь­поль э̄тпос юи-о̄выл хо̄талыт порат о̄вылтаслум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1362,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_022,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/022_Ос_л_пта_э_тпос_о_вы.wav,81.150,85.310,Ос лӯпта э̄тпос о̄вылтахтын порат суп та а̄стласлум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1363,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_023,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/023_А_гим_супыл_та_ю_нты.wav,85.360,87.460,А̄гим супыл та ю̄нтыслум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1364,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_024,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/024_О_выл_щ_с_ю_нтсум_та.wav,87.600,91.690,"О̄выл щёс ю̄нтсум, таима̄гсыл туп нас хорамыл ю̄нтыслум.",d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1365,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_025,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/025__тыл_э_ры_па_квпал_ю.wav,91.700,95.020,Ётыл э̄рыӈ па̄квпал ю̄нтуӈкве ханищтахтэ̄гум.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1366,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_026,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/026_Наталья_Валерьевна_о.wav,95.200,98.800,Наталья Валерьевна оматэ Раиса Павловна Мелехова.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1367,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_027,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/027_Такви_о_парищ_наме_М.wav,98.850,102.300,"Такви о̄парищ наме Мерова, ма̄ньщи нэ̄ о̄лыс.",d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1368,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_028,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/028_Наталья_ане_кватэ_са.wav,102.370,105.960,Наталья ане̄кватэ са̄всыр ма̄ньщи маснут ю̄нтыс.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1369,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_029,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/029_А_гиянэ_пуссын_ма_нь.wav,105.990,109.140,А̄гиянэ пуссын ма̄ньщи супыл ю̄нтыгласанэ.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1370,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_030,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/030_Ань_апге_ты_тэ_лан_т.wav,109.190,112.650,Ань апге ты тэ̄лан татем сымыӈыщ вуйхатас.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1371,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_031,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/031_Ос_н_тнэ_м_нь_щи_суп.wav,112.680,115.080,Ос нё̄тнэ мāнь­щи супыт ю̄нты.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1372,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_032,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/032_Наталья_а_гитэ_ма_гс.wav,115.290,120.270,Наталья а̄гитэ ма̄гсыл о̄влэ̄т супохса акв э̄типа̄­ла сыс ю̄нтыс.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1373,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_033,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/033_Ань_ма_нь_у_сквен_ял.wav,120.490,125.050,Ань ма̄нь ӯсквен ялантан ня̄вра­мыт пуссын тамле супох­са о̄ньщегыт.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1374,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_034,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/034_Таима_гыс_Со_фья_о_с.wav,125.080,128.630,Таима̄гыс Со­фья о̄с тамле суп оматэ̄­­ныл во̄выс.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1375,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_035,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/035_А_гирищкве_ма_нь_у_с.wav,128.730,133.350,"А̄гирищкве ма̄нь ӯск­вен ка̄сыӈ сменан во̄в­хаты, тув яланты.",d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1376,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_036,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/036_Таве_н_тот_ня_врамыт.wav,133.540,136.020,Таве̄н тот ня̄врамыт ёт о̄луӈкве.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1377,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_037,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/037__нгаса_кве_ха_йтыгта.wav,136.070,140.400,Ёнгасаӈкве ха̄йтыгтаӈкве ос ханищтахтуӈкве сака пӯмыщ.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1378,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_038,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/038_Ма_ньщи_о_лупсал_п_м.wav,140.510,142.850,Ма̄ньщи о̄лупсал пӯмщалахты.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1379,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_039,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/039_Софья_оматэ_ма_ньщи_.wav,142.980,148.360,"Софья оматэ ма̄ньщи нэ̄, а̄тятэ саран хум Николай Сергеевич Филиппов.",d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1380,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_040,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/040_Тэ_н_пыг_ос_а_ги_янм.wav,148.450,152.840,Тэ̄н пыг ос а̄ги янмалтэ̄г. Пыге̄н ты туи школа а̄стлас.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1381,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_041,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/041_Ты_я_тил_а_гирищкве_.wav,152.930,158.120,Ты я̄тил а̄гирищкве̄н ос тав ще̄мьятэ̄н пуста̄гыл о̄лнэ ла̄тыӈ те̄тэ̄в.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1382,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_042,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/042_О_с_мо_т_ма_ньщи_пор.wav,158.290,160.730,О̄с мо̄т ма̄ньщи пормасыт ю̄н­туӈкве.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1383,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_043,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/043_Ос_ва_ру_кве_вос_хан.wav,160.820,163.250,Ос ва̄руӈкве вос ханищтахты.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1384,Сатина Мария,mns_d62322fd-b3e5-4709-bf24-cff8061e45ed_044,Сатина Мария/mns_d62322fd-b3e5-4709-bf24-cff8061e45ed/044_Ты_тэ_ла_сы_мы_ыг_во.wav,163.280,165.950,Ты тэ̄ла сы­мыӈыг вос о̄ньщитэ.,d62322fd-b3e5-4709-bf24-cff8061e45ed,ГК
1385,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_001,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/001_Ищх_пы_утыл_ма_в_сун.wav,0.000,2.210,Ищхӣпыӈ утыл ма̄в сунсыглаве.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1386,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_002,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/002_Округув_янытыл_Росте.wav,2.690,6.300,"Округув янытыл ""Ростелеком"" колт рӯпитан хо̄тпат.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1387,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_003,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/003__Лесохранитель_нампа.wav,6.310,10.040,«Лесохранитель» нампа ищхӣпыӈ камерат карыс ма̄н тагатэ̄гыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1388,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_004,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/004_Ты_утыт_ма_в_акваг_у.wav,10.040,12.320,Ты утыт ма̄в акваг уральтыяныл.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1389,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_005,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/005_Ос_хо_т_посым_манос_.wav,12.330,15.020,Ос хо̄т посым манос тэ̄нэ̄ на̄й те по̄слэ̄гыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1390,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_006,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/006_Та_хосыт_на_й_харыгт.wav,15.020,17.770,Та хосыт на̄й харыгтан хо̄тпат ка̄салыяныл.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1391,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_007,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/007_Ты_янгыщ_таима_гсыл_.wav,17.780,19.790,Ты янгыщ таима̄гсыл тох ва̄рвес.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1392,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_008,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/008_Во_рт_на_й_ущ_пе_лам.wav,19.970,24.470,"Во̄рт на̄й ущ пе̄ламлан порат вос ка̄салаве, та̄ра харыгтаӈ­кве вос о̄вылтаве.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1393,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_009,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/009_Яныг_на_йтэмыг_ул_во.wav,24.610,26.300,Яныг на̄йтэмыг ул вос е̄мты.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1394,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_010,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/010_Ты_накт_китхуйплов_к.wav,26.720,32.500,"Ты накт китхуйплов камерат Ха̄льӯс, Хо̄нтаӈ, Нижневартовский, Октябрьский, Сургутский.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1395,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_011,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/011_Ос_Ханты_Мансийский_.wav,32.640,35.510,Ос Ханты-Мансийский районытт ань ущ ва̄рве̄сыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1396,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_012,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/012_Дмитрий_Скупов_Росте.wav,35.510,40.850,"Дмитрий Скупов, ""Ростелеком"" колт Ханты-Мансийский филиалэ̄т кӯщаиг рӯпитан хум, ла̄выс.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1397,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_013,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/013_Ма_н_ань_Лесохраните.wav,41.040,45.080,"Ма̄н ань ""Лесохранитель"" камерат округув янытыл ва̄риянӯв.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1398,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_014,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/014_Ань_мус_онтырса_т_ну.wav,45.360,48.520,Ань мус онтырса̄т нупыл нила камерат тагатасанӯв.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1399,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_015,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/015_Та_н_те_рква_лгыт_па.wav,48.720,50.960,Та̄н те̄рква̄лгыт палт о̄лтым о̄лэ̄гыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1400,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_016,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/016_Та_н_э_лумхо_лас_та_.wav,50.980,53.620,Та̄н э̄лумхо̄лас та̄л та̄нтирот рӯпитэ̄гыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1401,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_017,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/017_Ос_ма_мувлахи_акваг_.wav,54.070,56.640,Ос ма̄ мувлахи акваг уральтыяныл.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1402,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_018,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/018__Ростелеком_колт_ру_.wav,56.750,60.430,"""Ростелеком"" колт рӯпитан ма̄хманум ма̄нь па̄влытын минасыт.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1403,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_019,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/019_Ос_карыс_вышкатын_ва.wav,60.550,64.590,Ос карыс вышкатын ва̄т ман ос нёлса̄т метра карсытын тагатасаныл.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1404,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_020,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/020_Камерат_ка_сы_ат_лов.wav,64.780,70.610,"Камерат ка̄сыӈ ат лов кӯм сыс мувлахи ё̄ӈхēгыт ос акваг сунсэ̄гыт, по̄слэ̄гыт. ",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1405,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_021,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/021_Ты_камерат_втнэ_ос_в.wav,70.690,74.730,Ты камерат ёвтнэ ос ва̄рнэ ма̄гсыл хӯрум колыт акван-нё̄тхатым.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1406,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_022,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/022_Акван_потыртахтым_ва.wav,74.790,76.530,Акван-потыртахтым ва̄рсыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1407,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_023,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/023_Ты_информационный_те.wav,76.570,79.770,Ты информационный технологият округ департамент.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1408,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_024,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/024_Ма_вит_у_ргалан_окру.wav,79.780,81.810,Ма̄-вит ӯргалан округ департамент.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1409,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_025,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/025_Ос_Ростелеком_хо_тпа.wav,81.840,85.610,Ос «Ростелеком» хо̄тпат та̄наныл акваг уральтаӈ­кве патыяныл. ,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1410,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_026,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/026_Павел_Ципорин_округ_.wav,85.640,89.000,"Павел Ципорин, округ губернатор ва̄ӈын хум, ла̄выс.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1411,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_027,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/027_Ос_хунь_Лесохрани_те.wav,89.010,93.380,Ос хунь «Лесохрани­тель» ищхӣ­пыӈ камера но̄х-пе̄лам­лам на̄й ка̄­салы.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1412,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_028,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/028_Тав_та_ра_дежурный_х.wav,93.570,97.560,Тав та̄ра дежурный хо̄тпат палт ты о̄выл урыл сигнал те̄ты.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1413,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_029,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/029_По_слым_хури_ос_виде.wav,97.600,102.850,"По̄слым хури ос видео та̄н ка̄салэ̄гыт, на̄й харыгтан хо̄тпат та̄ра тув те̄тыяныл.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1414,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_030,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/030_Тох_моляхнув_па_влы_.wav,102.900,106.820,Тох моляхнув па̄влы­тыт о̄лнэ мирувн ма̄н нё̄­туӈкве ве̄рме̄в.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1415,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_031,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/031_Во_рув_мщакв_ргала_к.wav,106.930,109.290,Во̄рув ёмщакв ӯргалаӈкве тах ве̄рмилӯв.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1416,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_032,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/032_Егор_Збродов_ма_вит_.wav,109.330,115.490,"Егор Збродов, ма̄-вит ӯргалан округ департаментыт кӯщай ва̄ӈын хо̄тпаг рӯпитан хум, тох потыртас.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1417,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_033,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/033_Кит_со_тыр_ва_т_нупы.wav,115.560,120.310,Кит со̄тыр ва̄т нупыл хӯрмит та̄лт ма̄н тамле ищхӣпыӈ утыт ва̄руӈкве о̄вылтахтасӯв.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1418,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_034,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/034_Ос_таи_ла_ву_кве_та_.wav,120.360,121.870,Ос таи ла̄­вуӈкве таӈхе̄гум. ,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1419,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_035,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/035_Мо_лты_та_л_сыс_па_в.wav,121.980,126.200,Мо̄лты та̄л сыс па̄влыт ляпат ат ве̄рыста палытныл пе̄ламлан на̄ит.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1420,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_036,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/036_Ты_Лесохранитель_по_.wav,126.280,129.620,"Ты ""Лесохранитель"" по̄слын ут тав та̄ра ка̄саласанэ.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1421,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_037,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/037_Ос_та_наныл_харыгта_.wav,129.700,132.400,Ос та̄наныл харыгтаӈкве ма̄хум та̄ра ква̄лапасыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1422,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_038,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/038_На_йтэмыт_янгыт_ат_е.wav,132.490,134.210,На̄йтэмыт янгыт ат е̄мтсыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1423,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_039,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/039_Тох_ма_н_ва_глув_ман.wav,134.210,136.650,"Тох ма̄н ва̄глув, манрыг на̄й пе̄ламлас.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1424,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_040,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/040_Э_ры_хот_ты_хо_тпат_.wav,136.840,141.860,Э̄рыӈ хот­ты хо̄тпат о̄выл ва̄рсыт манос щахыл са̄лаям порат во̄р но̄х-хораяс.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1425,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_041,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/041_Ос_камерат_хосыт_сун.wav,141.870,144.030,Ос камерат хосыт сунсым ма̄н ва̄глув.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1426,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_042,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/042_Харыгтан_хо_тпа_то_в.wav,144.110,147.970,Харыгтан хо̄тпа то̄вылхаты манос иӈ хотьют тув те̄туӈкве э̄ри.  ,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
